vote date,original question,original question,coded options
1827-03-01 00:00:00,"TO ELECT A PUBLIC PRINTER VOTES FOR GREEN ARE CODED AS 1, FOR ""GALES AND SEATON"" AS 2, AND OTHERS AS 8.",TO ELECT A PUBLIC PRINTER.,1:GREEN;2:GALES AND SEATON;8:OTHERS
1837-02-08 00:00:00,"TO ELECT A VICE-PRESIDENT OF THE UNITED STATES, UPON FAILURE OF THE ELECTORAL COLLEGE TO GIVE A MAJORITY TO EITHER OF THE TWO HIGHEST CANDIDATES, RICHARD M. JOHNSON OF KENTUCKY AND FRANCIS GRANGER OF NEW YORK; THE SENATE VOTING 33 FOR JOHNSON AND 16 FOR GRANGER. VOTES FOR JOHNSON ARE CODED 1, FOR GRANGER, 2.","TO ELECT A VICE-PRESIDENT OF THE UNITED STATES, UPON FAILURE OF THE ELECTORAL COLLEGE TO GIVE A MAJORITY TO EITHER OF THE TWO HIGHEST CANDIDATES, RICHARD M. JOHNSON OF KENTUCKY AND FRANCIS GRANGER OF NEW YORK; THE SENATE VOTING 33 FOR JOHNSON AND 16 FOR GRANGER.",1:JOHNSON;2:GRANGER
1838-12-03 00:00:00,"TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES; VOTES FOR GARLAND ARE CODED (1), VOTES FOR CLARK ARE CODED (2), ALL OTHERS ARE CODED (8).",TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES.,1:GARLAND;2:CLARK;8:ALL OTHERS
1838-12-03 00:00:00,"TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES; GARLAND IS CODED (1), CLARK IS CODED (2).",TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES.,1:GARLAND;2:CLARK
1838-12-03 00:00:00,"TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES; VOTES FOR GARLAND ARE CODED (1), VOTES FOR CLARK ARE CODED (2), ALL OTHERS ARE CODED (8).",TO ELECT A CLERK TO THE HOUSE OF REPRESENTATIVES.,1:GARLAND;2:CLARK;8:ALL OTHERS
1839-12-21 00:00:00,"TO ELECT A CLERK OF THE HOUSE, VOTES FOR H. GARLAND ARE CODED 1, FOR MR. CLARKE CODED 2, VOTES FOR MR. MASON ARE CODED 5.",TO ELECT A CLERK OF THE HOUSE.,1:H. GARLAND;5:MR. MASON;2:MR. CLARKE
1839-12-21 00:00:00,"TO ELECT A SERGEANT-AT-ARMS, VOTES FOR R. DORSEY ARE CODED 1, FOR W. JONES CODED 2.",TO ELECT A SERGEANT-AT-ARMS.,1:R. DORSEY;2:W. JONES
1839-12-23 00:00:00,"TO ELECT A DOORKEEPER, VOTES FOR J. FOLLONSBEE ARE CODED 1, FOR J. DOW ARE CODED 2, FOR J. HAUSTON CODED 5.",TO ELECT A DOORKEEPER.,1:J. FOLLONSBEE;2:J. DOW;5:J. HAUSTON
1840-01-30 00:00:00,"TO ELECT A PRINTER, VOTES FOR BLAIR AND RIVES ARE CODED 1, FOR GALES AND SEATON CODED 2, AND ALL OTHERS ARE CODED 8.",TO ELECT A PRINTER.,1:BLAIR AND RIVES;2:GALES AND SEATON;8:ALL OTHERS
1840-02-03 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR BATES ARE CODED 1, FOR BRAXTON 2, FOR BALCK 5, FOR DANFORTH 6, FOR OTHERS, 8, FOR NOT VOTING 9.",TO ELECT A CHAPLAIN.,1:BATES;2:BRAXTON;5:BALCK;6:DANFORTH;8:OTHERS;9:NOT VOTING
1840-02-04 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR BATES ARE CODED 1, FOR BRAXTON 2, FOR BALCH 5, FOR DANFORTH 6, FOR OTHERS 8, FOR NOT VOTING 9.",TO ELECT A CHAPLAIN.,1:BATES;2:BRAXTON;5:BALCH;6:DANFORTH;8:OTHERS;9:NOT VOTING
1840-02-04 00:00:00,"TO ELECT A CHAPLAIN; VOTES FOR BATES ARE CODED 1, FOR BRAXTON 2, FOR BALCK 5, FOR DANFORTH 6, FOR OTHERS, 8, FOR NOT VOTING 9.",TO ELECT A CHAPLAIN.,1:BATES;2:BRAXTON;5:BALCK;6:DANFORTH;8:OTHERS;9:NOT VOTING
1840-02-04 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR BATES ARE CODED 1, FOR BRAXTON 2, FOR BALCH 5, FOR DANFORTH 6, FOR OTHER 8, FOR NOT VOTING 9.",TO ELECT A CHAPLAIN.,1:BATES;2:BRAXTON;5:BALCH;6:DANFORTH;8:OTHER;9:NOT VOTING
1840-02-04 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR BATES ARE CODED 1, FOR BRAXTON 2, FOR BALCH 5, FOR DANFORTH 6, FOR OTHERS 8, FOR NOT VOTING 9.",TO ELECT A CHAPLAIN.,1:BATES;2:BRAXTON;5:BALCH;6:DANFORTH;8:OTHERS;9:NOT VOTING
1840-12-15 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR MR. BRAXTON ARE CODED 1, FOR MR. BATES, 2, FOR MR. REESE, 5, ALL OTHERS 6.",TO ELECT A CHAPLAIN.,1:MR. BRAXTON;2:MR. BATES;5:MR. REESE;6:ALL OTHERS
1840-12-15 00:00:00,"TO ELECT A CHAPLAIN, VOTES FOR MR. T. BRAXTON ARE CODED 1, FOR MR. J. BATES CODED, 2, FOR MR. L. REESE CODED 5.",TO ELECT A CHAPLAIN.,1:MR. T. BRAXTON;2:MR. J. BATES CODED;5:MR. L. REESE CODED
1841-05-31 00:00:00,"TO ELECT A CLERK, FOR THE 27TH HOUSE.  VOTES FOR F.SMITH ARE CODED 1, FOR H. GARLAND, 2, FOR M. CLARK, 5, AND FOR R. MASON, 6.","TO ELECT A CLERK, FOR THE 27TH HOUSE.",1:F.SMITH;2:H. GARLAND;5:M. CLARK;6:R. MASON
1841-05-31 00:00:00,"TO ELECT A SPEAKER.  VOTES FOR JOHN WHITE ARE CODED AS 1, FOR JOHN W. JONES AS 2, FOR HENRY A. WISE AS 5, FOR JOSEPH LAWRENCE AS 6, AND FOR WILLIAM C. JOHNSON AS 7.",TO ELECT A SPEAKER.,1:JOHN WHITE;2:JOHN W. JONES;5:HENRY A. WISE;6:JOSEPH LAWRENCE;7:WILLIAM C. JOHNSON
1841-06-08 00:00:00,"TO ELECT A SERGEANT AT ARMS.  VOTES FOR RODERICK DORSEY ARE CODED AS 1, FOR ELEAXERY M. TOWNSEND AS 2, FOR BERNARD HOOE AS 5, FOR JAMES BLAKE AS 6, FOR THOMAS BURCHNALL AS 7, AND FOR JAMES WILSON AS 8.",TO ELECT A SERGEANT AT ARMS.,1:RODERICK DORSEY;2:ELEAXERY M. TOWNSEND;5:BERNARD HOOE;6:JAMES BLAKE;7:THOMAS BURCHNALL;8:JAMES WILSON
1841-06-09 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR J.W. FRENCH ARE CODED 1, FOR S.W. BRISTOL AS 2, FOR R.W. BAILEY AS 5, FOR H. WELTON AS 6, FOR LEVI REESE AS 7, AND FOR OTHERS AS 8.",TO ELECT A CHAPLAIN.,1:J.W. FRENCH;2:S.W. BRISTOL;5:R.W. BAILEY;6:H. WELTON;7:LEVI REESE;8:OTHERS
1841-06-09 00:00:00,"TO ELECT THE PRINCIPAL DOORKEEPER.  VOTES FOR J. FOLLANSBEE ARE CODED 1, FOR JESSIE DOW, AS 2, FOR R. WASHINGTON AS 5, FOR CRANSTON LAURIE AS 6, AND FOR OTHERS, AS 8.",TO ELECT THE PRINCIPAL DOORKEEPER.,"1:J. FOLLANSBEE;2:JESSIE DOW,;5:R. WASHINGTON;6:CRANSTON LAURIE;8:OTHERS"
1841-06-11 00:00:00,"TO ELECT A HOUSE PRINTER AND TO LIMIT HIS COMPENSATION. VOTES FOR GALES AND SEATON ARE CODED 1, FOR BLAIR AND RIVERS ARE CODED 2, FOR PETER FORCE ARE CODED 5.",TO ELECT A HOUSE PRINTER AND TO LIMIT HIS COMPENSATION.,1:GALES AND SEATON;2:BLAIR AND RIVERS;5:PETER FORCE
1841-12-13 00:00:00,"TO ELECT A CHAPLAIN; VOTES FOR THE REV. MR. MAFFET ARE CODED 1, FOR THE REV. MR. FRENCH, AS 2, AND FOR MR. HAWLEY AS 5.",TO ELECT A CHAPLAIN.,"1:THE REV. MR. MAFFET;2:THE REV. MR. FRENCH,;5:MR. HAWLEY"
1842-03-14 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR MR. TIFFANY ARE CODED AS 1, FOR MR. REESE AS 2, FOR MR. MUELLER AS 5, FOR MR. MOFFIE AS 6, FOR MR. BULLFINCH AS 7.",TO ELECT A CHAPLAIN.,1:MR. TIFFANY;2:MR. REESE;5:MR. MUELLER;6:MR. MOFFIE;7:MR. BULLFINCH
1842-03-14 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE.  VOTES FOR MR. TIFFANY ARE CODED 1, FOR MR. MULLER AS 2, FOR MR. REESE AS 5, FOR MR. MOFFIT AS 6, FOR MR. CLAYTON AS 7, FOR OCHERS AS 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:MR. TIFFANY;2:MR. MULLER;5:MR. REESE;6:MR. MOFFIT;7:MR. CLAYTON;8:OCHERS
1843-12-04 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE, JOHN W. JONES, DEMOCRAT FROM VIRGINIA (CODED1), JOHN WHITE, WHIG FROM KENTUCKY (CODED 2), AND WILLIAM WILKINS, DEMOCRAT FROM PENNSYLVANIA (CODED 5).",TO ELECT A SPEAKER OF THE HOUSE.,"1:JOHN W. JONES, DEMOCRAT FROM VIRGINIA;2:JOHN WHITE, WHIG FROM KENTUCKY;5:WILLIAM WILKINS, DEMOCRAT FROM PENNSYLVANIA"
1843-12-07 00:00:00,"TO ELECT A SERGENT AT ARMS, NEWTON LANE (CODED 1) VS. E. M. TOWNSEND (CODED2).",TO ELECT A SERGENT AT ARMS.,1:NEWTON LANE;2:E. M. TOWNSEND
1843-12-07 00:00:00,"TO ELECT A PRINTER, BLAIR AND RIVERS (CODED 1), GALES AND SEATON (CODED 2), JACOB GIDEON (CODED 5).",TO ELECT A PRINTER.,1:BLAIR AND RIVERS;2:GALES AND SEATON;5:JACOB GIDEON
1843-12-07 00:00:00,"TO ELECT A DOORKEEPER, JESSE E. DOW, (CODED 1) VS. JAS. FOLLANSEE (CODED 2).",TO ELECT A DOORKEEPER.,1:JESSE E. DOW;2:JAS. FOLLANSEE
1843-12-11 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, ISAAC S. TINSLEY (CODED 1) FREDERICK T. TIFFANY (CODED 2), WILLIAM M. DAILY (CODED 5), AND MINOR CANDIDATES BULFINCH, DODGE, KETCHUM, MULLER, AND DEWEY (ALL CODED 8).",TO ELECT A CHAPLAIN OF THE HOUSE.,"1:ISAAC S. TINSLEY;2:FREDERICK T. TIFFANY;5:WILLIAM M. DAILY;8:MINOR CANDIDATES BULFINCH, DODGE, KETCHUM, MULLER, AND DEWEY"
1843-12-11 00:00:00,"TO ELECT A CLERK, CALEB J. MCNULTY (CODED1) VS. MATHEW ST.C. CLARKE (CODED 2).",TO ELECT A CLERK.,1:CALEB J. MCNULTY;2:MATHEW ST.C. CLARKE
1843-12-11 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, ISSAC S. TINSLEY (CODED 1) FREDERICK T. TIFFANY (CODED 2), WILLIAM M. DAILY (CODED 5), AND MINOR CANDIDATES S. G. BULFINCH, H. W. DODGE, I. S. KETCHUM, W. MATHEWS (ALL CODED 8).",TO ELECT A CHAPLAIN OF THE HOUSE.,"1:ISSAC S. TINSLEY.2:FREDERICK T. TIFFANY,5:WILLIAM M. DAILY;8:MINOR CANDIDATES S. G. BULFINCH, H. W. DODGE, I. S. KETCHUM, W. MATHEWS"
1844-01-04 00:00:00,"TO ELECT A POSTMASTER OF THE HOUSE, JOHN M. JOHNSON (CODED 1), D. R. MCNAIR (CODED 2), WILLIAM J. MCCORMICK (CODED 5), H. H. SYLVESTER (CODED 6), AND MINOR CANDIDATES P. H. BROWN AND A. VAN TYNE (BOTH CODED 8).",TO ELECT A POSTMASTER OF THE HOUSE.,1:JOHN M. JOHNSON;2:D. R. MCNAIR;5:WILLIAM J. MCCORMICK;6:H. H. SYLVESTER;8:MINOR CANDIDATES P. H. BROWN AND A. VAN TYNE
1844-01-04 00:00:00,"TO ELECT A POSTMASTER OF THE HOUSE, JOHN M. JOHNSON (CODED 1), D. R. MCNAIR (CODED 2), WILLIAM J. MCCORMICK (CODED 5), AND MINOR CANDIDATES H. H. SYLVESTER AND P. H. BROWN (BOTH CODED 8).",TO ELECT A POSTMASTER OF THE HOUSE.,1:JOHN M. JOHNSON;2:D. R. MCNAIR;5:WILLIAM J. MCCORMICK;8:MINOR CANDIDATES H. H. SYLVESTER AND P. H. BROWN
1844-01-04 00:00:00,"TO ELECT A POSTMASTER OF THE HOUSE, JOHN M. JOHNSON (CODED 1), D. R. MCNAIR (CODED 2), AND WILLIAM J. MCCORMICK (CODED 5).",TO ELECT A POSTMASTER OF THE HOUSE.,1:JOHN M. JOHNSON;2:D. R. MCNAIR;5:WILLIAM J. MCCORMICK
1844-12-04 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, WM. DAILY (CODED 1), ISAAC FINSLEY (CODED 2), RODNEY MILLER (CODED 5), THOS. FISHER (CODED 7), THOS. ALLEN (CODED 7), AND A. MULLER AND E. HALE (BOTH CODED 8).",TO ELECT A CHAPLAIN OF THE HOUSE.,1:WM. DAILY;2:ISAAC FINSLEY;5:RODNEY MILLER;6:THOS. FISHER;7:THOS. ALLEN;8:A. MULLER/E. HALE
1844-12-04 00:00:00,"TO ELECT A CHAPLAIN, WM. DAILY (CODED 1), ISAAC FINSLEY (CODED 2), RODNEY MILLER (CODED 5), THOS. FISHER (CODED 6), AND T. ALLEN AND A. MULLER (BOTH CODED 8).",TO ELECT A CHAPLAIN.,1:WM. DAILY;2:ISAAC FINSLEY5:RODNEY MILLER;6: THOS. FISHER;8:T. ALLEN/A. MULLER
1844-12-04 00:00:00,"TO ELECT A CHAPLAIN, WM. DAILY (CODED 1), ISSAC FINSLEY (CODED 2), RODNEY MILLER (CODED 5), THOS. FISHER (CODED 6), THOS. ALLEN (CODED 7), AND A. MULLER AND E. HALE (BOTH CODED 8).",TO ELECT A CHAPLAIN.,1:WM. DAILY;2:ISSAC FINSLEY;5:RODNEY MILLER;6: THOS. FISHER;7:THOS. ALLEN;8:A. MULLER/E. HALE
1845-12-01 00:00:00,"TO ELECT A SPEAKER FOR THE 29TH HOUSE, JOHN DAVIS (DEM), VERSUS S. VENTON, (WHIG). VOTES FOR DAVIS ARE CODED 1, FOR VINTON, 2. VOTES FOR OTHER CANDIDATES ARE CODED 8.","TO ELECT A SPEAKER FOR THE 29TH HOUSE, JOHN DAVIS (DEM), VERSUS S. VENTON, (WHIG).",1:DAVIS;2:VINTON;8:OTHER CANDIDATES
1845-12-03 00:00:00,"TO ELECT A PRINTER, VOTES FOR RITCHIE AND HEISS ARE CODED 1. VOTES FOR FISK AND DOW ARE CODED 2  VOTES FOR OTHER CANDIDATES ARE CODED 8.",TO ELECT A PRINTER.,1:RITCHIE AND HEISS;2:FISK AND DOW;8:OTHER CANDIDATES
1845-12-03 00:00:00,"TO ELECT A POSTMANSTER.  VOTES FOR J. M. JOHNSON ARE CODED 1, FOR W. J. MC CORMICK ARE CODED 2,.  VOTES FOR OTHERS ARE CODED 8.",TO ELECT A POSTMANSTER.,1:J. M. JOHNSON;2:W. J. MC CORMICK;8:OTHERS
1845-12-22 00:00:00,"TO ELECT A CHAPLAIN.  NO CANDIDATE RECEIVED A MAJORITY. VOTES FOR MILLBURNE ARE CODED 1, FOR GURLEY, 2, FOR SPROLE, 5, FOR CONNER, 6, FOR JUSTON, 7.  VOTES FOR ALL OTHER CANDIDATES ARE CODED 8.",TO ELECT A CHAPLAIN. NO CANDIDATE RECEIVED A MAJORITY.,1:MILLBURNE;2:GURLEY;5:SPROLE;6:CONNER;7:JUSTON;8:ALL OTHER CANDIDATES
1845-12-22 00:00:00,"TO ELECT A CHAPLAIN.  VOTES FOR MILLBORNE ARE CODED 1, FOR GURLEY, 2, FOR SPROLE, 5, FOR CONNER, 6.",TO ELECT A CHAPLAIN.,1:MILLBORNE;2:GURLEY;5:SPROLE;6:CONNER
1845-12-22 00:00:00,"TO ELECT A CHAPLAIN.  NO CANDIDATE RECEIVED A MAJORITY. VOTES FOR MILLBURNE ARE CODED 1, FOR GURLEY, 2, FOR SPROLE, 5, FOR CONNER, 6, FOR JUSTON, 7.  VOTES FOR ALL OTHER CANDIDATES ARE CODED 8.",TO ELECT A CHAPLAIN. NO CANDIDATE RECEIVED A MAJORITY.,1:MILLBURNE;2:GURLEY;5:SPROLE;6:CONNER;7:JUSTON;8:ALL OTHER CANDIDATES
1846-12-17 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, SPROLE IS CODED 1, DEWEY IS CODED 2, TINSLEY IS CODED 5, TAYLOR IS CODED 6, OTHER CANDIDATES ARE CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:SPROLE;2:DEWEY;5:TINSLEY;6:TAYLOR;8:OTHER CANDIDATES
1846-12-17 00:00:00,"TO ELECT A CHAPLAIN OF THE HOUSE, SPROLE IS CODED 1, DEWEY IS CODED 2, TINSLEY IS CODED 5, TAYLOR IS CODED 6, OTHER CANDIDATES ARE CODED 8.",TO ELECT A CHAPLAIN OF THE HOUSE.,1:SPROLE;2:DEWEY;5:TINSLEY;6:TAYLOR;8:OTHER CANDIDATES
